ix,name,shortname,R,G,B
215,Sml               ,Sml,0,1,1
216,Sml               ,Sml,0,1,1
217,DoA               ,DoA,0,0.863,0
218,Def               ,Def,1,0,0
219,SMm               ,SMm,1,0.502,0
220,DoA               ,DoA,0,0.863,0
221,DoA               ,DoA,0,0.863,0
222,VeA               ,VeA,0,0.502,0.502
223,Sml               ,Sml,0,1,1
224,ReT               ,ReT,0.863,0.863,0.863
225,FrP               ,FrP,0.9,0.6,0
226,CiO               ,CiO,0.502,0,0.502
227,Vis               ,Vis,0,0,1
228,Aud               ,Aud,1,0,1
229,FrP               ,FrP,0.9,0.6,0
230,Vis               ,Vis,0,0,1
231,VeA               ,VeA,0,0.502,0.502
232,Vis               ,Vis,0,0,1
233,non               ,non,0.502,0.502,0.502
234,DoA               ,DoA,0,0.863,0
235,Sml               ,Sml,0,1,1
236,non               ,non,0.502,0.502,0.502
237,VeA               ,VeA,0,0.502,0.502
238,Sml               ,Sml,0,1,1
239,non               ,non,0.502,0.502,0.502
240,Def               ,Def,1,0,0
241,VeA               ,VeA,0,0.502,0.502
242,Aud               ,Aud,1,0,1
243,CiO               ,CiO,0.502,0,0.502
244,Vis               ,Vis,0,0,1
245,Sml               ,Sml,0,1,1
246,SMm               ,SMm,1,0.502,0
247,Aud               ,Aud,1,0,1
248,VeA               ,VeA,0,0.502,0.502
249,VeA               ,VeA,0,0.502,0.502
250,Vis               ,Vis,0,0,1
251,DoA               ,DoA,0,0.863,0
252,Vis               ,Vis,0,0,1
253,Vis               ,Vis,0,0,1
254,Aud               ,Aud,1,0,1
255,FrP               ,FrP,0.9,0.6,0
256,FrP               ,FrP,0.9,0.6,0
257,Vis               ,Vis,0,0,1
258,CiO               ,CiO,0.502,0,0.502
259,Vis               ,Vis,0,0,1
260,Def               ,Def,1,0,0
261,VeA               ,VeA,0,0.502,0.502
262,Vis               ,Vis,0,0,1
263,DoA               ,DoA,0,0.863,0
264,FrP               ,FrP,0.9,0.6,0
265,FrP               ,FrP,0.9,0.6,0
266,Vis               ,Vis,0,0,1
267,Def               ,Def,1,0,0
268,CiO               ,CiO,0.502,0,0.502
269,CiO               ,CiO,0.502,0,0.502
270,SMm               ,SMm,1,0.502,0
271,Vis               ,Vis,0,0,1
272,non               ,non,0.502,0.502,0.502
273,Aud               ,Aud,1,0,1
274,VeA               ,VeA,0,0.502,0.502
275,non               ,non,0.502,0.502,0.502
276,VeA               ,VeA,0,0.502,0.502
277,Def               ,Def,1,0,0
278,Vis               ,Vis,0,0,1
279,DoA               ,DoA,0,0.863,0
280,Vis               ,Vis,0,0,1
281,non               ,non,0.502,0.502,0.502
282,ReT               ,ReT,0.863,0.863,0.863
283,non               ,non,0.502,0.502,0.502
284,Def               ,Def,1,0,0
285,Def               ,Def,1,0,0
286,CiO               ,CiO,0.502,0,0.502
287,CiO               ,CiO,0.502,0,0.502
288,FrP               ,FrP,0.9,0.6,0
289,FrP               ,FrP,0.9,0.6,0
290,CiO               ,CiO,0.502,0,0.502
291,Def               ,Def,1,0,0
292,Def               ,Def,1,0,0
293,Def               ,Def,1,0,0
294,non               ,non,0.502,0.502,0.502
295,CiP               ,CiP,0,0.427,1
296,Def               ,Def,1,0,0
297,Def               ,Def,1,0,0
298,non               ,non,0.502,0.502,0.502
299,non               ,non,0.502,0.502,0.502
300,Def               ,Def,1,0,0
301,Def               ,Def,1,0,0
302,FrP               ,FrP,0.9,0.6,0
303,FrP               ,FrP,0.9,0.6,0
304,Aud               ,Aud,1,0,1
305,Aud               ,Aud,1,0,1
306,Def               ,Def,1,0,0
307,non               ,non,0.502,0.502,0.502
308,non               ,non,0.502,0.502,0.502
309,non               ,non,0.502,0.502,0.502
310,non               ,non,0.502,0.502,0.502
311,non               ,non,0.502,0.502,0.502
312,VeA               ,VeA,0,0.502,0.502
313,ReT               ,ReT,0.863,0.863,0.863
314,VeA               ,VeA,0,0.502,0.502
315,Aud               ,Aud,1,0,1
316,CiO               ,CiO,0.502,0,0.502
317,CiO               ,CiO,0.502,0,0.502
318,Aud               ,Aud,1,0,1
319,Sml               ,Sml,0,1,1
320,SMm               ,SMm,1,0.502,0
321,Aud               ,Aud,1,0,1
322,CiO               ,CiO,0.502,0,0.502
323,DoA               ,DoA,0,0.863,0
324,DoA               ,DoA,0,0.863,0
325,FrP               ,FrP,0.9,0.6,0
326,FrP               ,FrP,0.9,0.6,0
327,Def               ,Def,1,0,0
328,Vis               ,Vis,0,0,1
329,VeA               ,VeA,0,0.502,0.502
330,FrP               ,FrP,0.9,0.6,0
331,DoA               ,DoA,0,0.863,0
332,CiO               ,CiO,0.502,0,0.502
333,Sal               ,Sal,0,0,0
